# Catalogue des paramètres réellement mesurés par le contrôle sanitaire.
# Récolté le 2026-08-07 sur Hub'Eau qualite_eau_potable/resultats_dis,
# à partir des derniers bulletins complets (> 250 paramètres)
# de 8 commune(s) par département, départements 17,31,28,51.
# limite_declaree = limite_qualite_parametre telle que fournie par la source :
# c'est la grille D'AUJOURD'HUI, pas un seuil daté. Voir CLAUDE.md §2.5 et §2.7.
# Reproductible : python3 src/catalogue_parametres.py --depts 17,31,28,51 --communes 8
code_parametre;libelle_parametre;libelle_norm;code_cas;unite;limite_declaree;reference_declaree;nb_mesures;nb_bulletins;departements;variantes_libelle
1447;Bactéries coliformes /100ml-MS;bacteries coliformes /100ml-ms;;n/(100mL);;<=0 n/(100mL);26;26;17|28|31|51;
6455;Entérocoques /100ml-MS;enterocoques /100ml-ms;;n/(100mL);<=0 n/(100mL);;26;26;17|28|31|51;
1449;Escherichia coli /100ml - MF;escherichia coli /100ml - mf;;n/(100mL);<=0 n/(100mL);;26;26;17|28|31|51;
1393;Fer total;fer total;7439-89-6;µg/L;;<=200 µg/L;26;26;17|28|31|51;
1394;Manganèse total;manganese total;7439-96-5;µg/L;;<=50 µg/L;26;26;17|28|31|51;
1339;Nitrites (en NO2);nitrites (en no2);14797-65-0;mg/L;<=0,1 mg/L;;26;26;17|28|31|51;
6862;OXA acetochlore;oxa acetochlore;194992-44-4;µg/L;;;26;26;17|28|31|51;
1295;Turbidité néphélométrique NFU;turbidite nephelometrique nfu;;NFU;<=1 NFU;<=2 NFU;26;26;17|28|31|51;
2098;Activité Tritium (3H);activite tritium (3h);;Bq/L;;<=100 Bq/L;25;25;17|28|31|51;
1034;Activité alpha globale en Bq/L;activite alpha globale;;Bq/L;;;25;25;17|28|31|51;
1035;Activité béta globale en Bq/L;activite beta globale;;Bq/L;;;25;25;17|28|31|51;
1103;Aldrine;aldrine;309-00-2;µg/L;<=0,03 µg/L;;25;25;17|28|31|51;
1370;Aluminium total µg/l;aluminium total;7429-90-5;µg/L;;<=200 µg/L;25;25;17|28|31|51;
1369;Arsenic;arsenic;7440-38-2;µg/L;<=10 µg/L;;25;25;17|28|31|51;
1396;Baryum;baryum;7440-39-3;mg/L;;<=0,7 mg/L;25;25;17|28|31|51;
2074;Benoxacor;benoxacor;98730-04-2;µg/L;<=0,1 µg/L;;25;25;17|28|31|51;
1114;Benzène;benzene;71-43-2;µg/L;<=1 µg/L;;25;25;17|28|31|51;
1362;Bore mg/L;bore;7440-42-8;mg/L;<=1,5 mg/L;;25;25;17|28|31|51;
1374;Calcium;calcium;7440-70-2;mg/L;;;25;25;17|28|31|51;
1540;Chlorpyriphos méthyl;chlorpyriphos methyl;5598-13-0;µg/L;<=0,1 µg/L;;25;25;17|28|31|51;
1337;Chlorures;chlorures;16887-00-6;mg/L;;<=250 mg/L;25;25;17|28|31|51;
1390;Cyanures totaux;cyanures totaux;;µg(CN)/L;<=50 µg(CN)/L;;25;25;17|28|31|51;
1139;Cymoxanil;cymoxanil;57966-95-7;µg/L;<=0,1 µg/L;;25;25;17|28|31|51;
7801;Cyprosulfamide;cyprosulfamide;221667-31-8;µg/L;<=0,1 µg/L;;25;25;17|28|31|51;
1480;Dicamba;dicamba;1918-00-9;µg/L;<=0,1 µg/L;;25;25;17|28|31|51;
1161;Dichloroéthane-1,2;dichloroethane-1,2;107-06-2;µg/L;<=3 µg/L;;25;25;17|28|31|51;
1175;Diméthoate;dimethoate;60-51-5;µg/L;<=0,1 µg/L;;25;25;17|28|31|51;
1178;Endosulfan alpha;endosulfan alpha;959-98-8;µg/L;<=0,1 µg/L;;25;25;17|28|31|51;
1179;Endosulfan béta;endosulfan beta;33213-65-9;µg/L;<=0,1 µg/L;;25;25;17|28|31|51;
5907;Equilibre calcocarbonique 0/1/2/3/4;equilibre calcocarbonique 0/1/2/3/4;;SANS OBJET;;>=1 et <=2 SANS OBJET;25;25;17|28|31|51;
2743;Fenhexamid;fenhexamid;126833-17-8;µg/L;<=0,1 µg/L;;25;25;17|28|31|51;
1189;Fenpropimorphe;fenpropimorphe;67564-91-4;µg/L;<=0,1 µg/L;;25;25;17|28|31|51;
2022;Fludioxonil;fludioxonil;131341-86-1;µg/L;<=0,1 µg/L;;25;25;17|28|31|51;
7073;Fluorures mg/L;fluorures;16984-48-8;mg/L;<=1,5 mg/L;;25;25;17|28|31|51;
2008;Flurtamone;flurtamone;96525-23-4;µg/L;<=0,1 µg/L;;25;25;17|28|31|51;
1200;HCH alpha;hch alpha;319-84-6;µg/L;<=0,1 µg/L;;25;25;17|28|31|51;
1201;HCH béta;hch beta;319-85-7;µg/L;<=0,1 µg/L;;25;25;17|28|31|51;
1202;HCH delta;hch delta;319-86-8;µg/L;<=0,1 µg/L;;25;25;17|28|31|51;
1203;HCH gamma (lindane);hch gamma (lindane);58-89-9;µg/L;<=0,1 µg/L;;25;25;17|28|31|51;
1199;Hexachlorobenzène;hexachlorobenzene;118-74-1;µg/L;<=0,1 µg/L;;25;25;17|28|31|51;
1945;Isoxaflutole;isoxaflutole;141112-29-0;µg/L;<=0,1 µg/L;;25;25;17|28|31|51;
1094;Lambda Cyhalothrine;lambda cyhalothrine;91465-08-6;µg/L;<=0,1 µg/L;;25;25;17|28|31|51;
1209;Linuron;linuron;330-55-2;µg/L;<=0,1 µg/L;;25;25;17|28|31|51;
1372;Magnésium;magnesium;7439-95-4;mg(Mg)/L;;;25;25;17|28|31|51;
1387;Mercure;mercure;7439-97-6;µg/L;<=1 µg/L;;25;25;17|28|31|51;
1668;Oryzalin;oryzalin;19044-88-3;µg/L;<=0,1 µg/L;;25;25;17|28|31|51;
1667;Oxadiazon;oxadiazon;19666-30-9;µg/L;<=0,1 µg/L;;25;25;17|28|31|51;
1367;Potassium;potassium;7440-09-7;mg/L;;;25;25;17|28|31|51;
1432;Pyriméthanil;pyrimethanil;53112-28-0;µg/L;<=0,1 µg/L;;25;25;17|28|31|51;
7340;Pyroxsulame;pyroxsulame;422556-08-9;µg/L;<=0,1 µg/L;;25;25;17|28|31|51;
1375;Sodium;sodium;7440-23-5;mg/L;;<=200 mg/L;25;25;17|28|31|51;
1662;Sulcotrione;sulcotrione;99105-77-8;µg/L;<=0,1 µg/L;;25;25;17|28|31|51;
1338;Sulfates;sulfates;;mg/L;;<=250 mg/L;25;25;17|28|31|51;
1385;Sélénium;selenium;7782-49-2;µg(Se)/L;<=20 µg(Se)/L;;25;25;17|28|31|51;Sélénium si conditions géologiques particulières
6390;Thiamethoxam;thiamethoxam;153719-23-4;µg/L;<=0,1 µg/L;;25;25;17|28|31|51;
1347;Titre alcalimétrique complet;titre alcalimetrique complet;;°f;;;25;25;17|28|31|51;
1345;Titre hydrotimétrique;titre hydrotimetrique;;°f;;;25;25;17|28|31|51;
2064;Tribenuron-méthyle;tribenuron-methyle;101200-48-0;µg/L;<=0,1 µg/L;;25;25;17|28|31|51;
1286;Trichloroéthylène;trichloroethylene;79-01-6;µg/L;<=10 µg/L;;25;25;17|28|31|51;
2678;Trifloxystrobine;trifloxystrobine;141517-21-7;µg/L;<=0,1 µg/L;;25;25;17|28|31|51;
1289;Trifluraline;trifluraline;1582-09-8;µg/L;<=0,1 µg/L;;25;25;17|28|31|51;
