code_insee;commune;dept;derniere_complete;age_mois;nb_parametres_complete;nb_controles_depuis;dernier_controle;nb_depassements;nb_abandonnes_24m;nb_jamais_recherches;abandonnes
26204;Montlaur-en-Diois;26;2024-06-24;26;244;22;2026-05-04;0;0;0;
28270;Moriers;28;2024-06-25;26;269;4;2025-02-12;0;0;0;
07270;Saint-Martin-sur-Lavezon;07;2024-06-28;26;285;30;2026-06-09;0;0;0;
29084;Île-Molène;29;2024-06-26;26;303;17;2026-03-04;0;0;0;
02491;Monceau-le-Neuf-et-Faucouzy;02;2024-07-19;25;248;14;2026-06-08;7;0;0;
02121;Breny;02;2024-07-03;25;248;11;2026-01-20;3;0;0;
02545;La Neuville-Bosmont;02;2024-07-19;25;248;12;2026-02-23;3;0;0;
26153;Laborel;26;2024-07-04;25;346;20;2026-05-07;2;0;0;
06062;Fontan;06;2024-07-24;25;253;45;2026-06-15;1;0;0;
05019;La Beaume;05;2024-07-05;25;259;64;2026-06-12;1;0;0;
05016;La Bâtie-Montsaléon;05;2024-07-03;25;259;25;2026-06-24;1;0;0;
38266;La Motte-Saint-Martin;38;2024-07-08;25;350;51;2026-04-01;1;0;0;
26247;Ponsas;26;2024-07-24;25;367;13;2026-05-04;0;0;0;
38402;Saint-Jean-de-Vaulx;38;2024-07-11;25;350;31;2026-06-04;0;0;0;
28365;Sandarville;28;2024-07-02;25;269;10;2026-04-01;1;0;0;
01415;Talissieu;01;2024-07-24;25;343;28;2026-06-11;0;0;0;
67543;Wisches;67;2024-07-24;25;270;25;2026-06-17;0;0;0;
26065;Chabrillan;26;2024-08-27;24;346;26;2026-06-10;3;0;0;
02263;Dhuizel;02;2024-08-29;24;248;13;2026-06-25;3;0;0;
02224;Courcelles-sur-Vesle;02;2024-08-29;24;248;13;2026-02-19;2;0;0;
05073;Lazer;05;2024-08-20;24;259;19;2026-04-20;0;0;0;
68216;Mooslargue;68;2024-08-23;24;259;16;2026-06-15;0;0;0;
05107;Puy-Saint-André;05;2024-08-06;24;259;24;2026-04-01;0;0;0;
38489;Siévoz;38;2024-08-29;24;350;11;2026-04-13;0;0;0;
